uuid,Kunde,Zaehlernummer,Datum,Kommentar,Kommentar
314f9be9-ee37-410a-9250-6be238cd839a,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2021-2312434xz,22.06.2021,0,Zählertausch: neue Nummer Xr-2021-2312434xz
3ac21e64-80e7-4969-b3c1-e3c7fd7574c0,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2021-2312434xz,01.07.2021,0.058,\N
065f361d-1bee-463f-a616-ef1509fd71e2,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2021-2312434xz,01.08.2021,0.266,\N
8b32b846-fa69-4f32-be5b-90bbf2176e88,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2021-2312434xz,01.09.2021,0.434,\N
4c05c5b5-ed9a-4e34-a8a8-034ae7e0cec8,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2021-2312434xz,02.10.2021,0.632,\N
b2e5ea89-e4fe-48db-b11b-840c2fca5e84,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2021-2312434xz,01.11.2021,0.854,\N
97948177-1553-462a-a1b3-8ea9a550c6b6,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2021-2312434xz,28.11.2021,1.082,\N
33b17d7f-d7b9-4d64-9c35-265a7b713e9f,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2021-2312434xz,01.01.2022,1.388,\N
d7439495-7876-4250-9444-bfef48574c40,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2021-2312434xz,27.02.2022,1.918,\N
995e1527-8e2a-4890-b6b2-705d376f2881,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2021-2312434xz,10.04.2022,2.283,\N
ab05dacd-4d53-4d62-b25a-2b5ab8b179af,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2021-2312434xz,01.08.2022,3.067,\N
7c12c6d7-f608-4666-a407-e1f35992dfc3,ec617965-88b4-4721-8158-ee36c38e4db3,Xr-2021-2312434xz,01.09.2022,3.255,\N
